Original Question,Generated Question,Expected Question,Source Bloom,Target Bloom,Predicted Bloom,Confidence,Retry Count,Generation Time,Validation Result,Comments
Assess whether agile or waterfall methodology is more appropriate for developing a safety-critical avionics control system.,Assess the suitability of agile and waterfall methodologies for a safety-critical avionics control system.,,Create,Evaluate,Evaluate,99.99,0,4.13,Exact Match,Exact Match: True. BLEU: 0.327. ROUGE-L: 0.625.
Evaluate the impact of using a convolutional neural network versus a vision transformer for real-time object detection on edge devices.,Evaluate the performance of a convolutional neural network over a vision transformer for object detection in real-time applications.,,Evaluate,Evaluate,Evaluate,99.99,0,4.66,Exact Match,Exact Match: True. BLEU: 0.301. ROUGE-L: 0.65.
"Design a relational schema for a hospital management system that records patients, doctors, appointments, and prescriptions in third normal form.","Design a relational schema for a hospital management system that records patients, doctors, appointments, and prescriptions in third normal form.",,Create,Create,Create,100.0,0,5.32,Exact Match,Exact Match: True. BLEU: 1.0. ROUGE-L: 1.0.
Propose a sharding strategy for a social network database with two billion user accounts to achieve horizontal scalability.,Design a scalable sharding solution for a social network database with two billion user accounts to achieve horizontal scalability.,,Create,Create,Create,100.0,3,22.23,Exact Match,Exact Match: True. BLEU: 0.739. ROUGE-L: 0.865.
Design a reliable file transfer protocol over UDP that guarantees ordered delivery and retransmission of lost packets.,Design an IPv4-based UDP delivery mechanism that guarantees packet retransmissions under varying network congestion conditions.,,Create,Create,Create,100.0,0,5.4,Exact Match,Exact Match: True. BLEU: 0.031. ROUGE-L: 0.242.
Construct a network architecture for a bank that separates internet-facing services from internal systems using DMZ and firewall zones.,Design an Osi-based network management system for a bank that divides internet services into separate internal and external networks using DMZ and firewall zones.,,Create,Create,Create,100.0,0,5.68,Exact Match,Exact Match: True. BLEU: 0.263. ROUGE-L: 0.578.
Design a custom memory allocator for an embedded operating system with no virtual memory support and fixed-size partitions.,Design a custom memory allocator for an embedded operating system that supports no virtual memory support and fixed-size partitions with optimized access paths.,,Create,Create,Create,100.0,0,5.61,Exact Match,Exact Match: True. BLEU: 0.67. ROUGE-L: 0.837.
Formulate a CPU scheduling algorithm that minimises average turnaround time for a mixed workload of I/O-bound and CPU-bound processes.,"Formulate a scheduling algorithm that minimizes the workload of I/O-bound processes, while maintaining resource utilization for CPU-bound processes.",,Create,Create,Create,100.0,0,5.96,Exact Match,Exact Match: True. BLEU: 0.297. ROUGE-L: 0.605.
"Design a microservices architecture for an online retail platform including service boundaries, communication patterns, and data ownership.","Design a microservices architecture for an online retail platform by selecting suitable communication patterns, service boundaries, and data ownership.",,Create,Create,Create,100.0,0,5.17,Exact Match,Exact Match: True. BLEU: 0.564. ROUGE-L: 0.778.
"Develop a comprehensive CI/CD pipeline for a Python web application including build, test, security scan, and deployment stages.","Develop a complete CI/CD pipeline for a Python web application with test runs, security scans, and deployment stages.",,Create,Create,Create,100.0,0,5.86,Exact Match,Exact Match: True. BLEU: 0.491. ROUGE-L: 0.789.
Construct a self-balancing trie data structure to support autocomplete search over a dictionary of one million words.,Design a self-balancing trie data structure that supports autocomplete search over a million words using nested prefix queries and a synchronized array of prefixes,,Create,Create,Create,100.0,0,6.03,Exact Match,Exact Match: True. BLEU: 0.313. ROUGE-L: 0.558.
Design an LRU cache using a combination of a doubly linked list and a hash map and describe its get and put operations.,Formulate a LRU cache by combining a doubly linked list with a hash map and justify your design.,,Create,Create,Create,100.0,0,5.5,Exact Match,Exact Match: True. BLEU: 0.239. ROUGE-L: 0.488.
Propose a novel feature engineering pipeline for a customer churn prediction model trained on transactional banking data.,Formulate an evaluation pipeline for a customer churn prediction model that integrates transactional modeling and customer churgin behavior.,,Create,Create,Create,100.0,3,21.2,Exact Match,Exact Match: True. BLEU: 0.342. ROUGE-L: 0.457.
Design a reinforcement learning environment and reward function to train an agent to optimise warehouse robot routing.,Engineer a reinforcement learning solution that improves agent performance by minimizing route divergence and minimizing reward overhead.,,Create,Create,Create,99.4,0,4.91,Exact Match,Exact Match: True. BLEU: 0.07. ROUGE-L: 0.294.
Develop a knowledge representation scheme using semantic networks to model medical diagnostic reasoning for a clinical decision support system.,"Construct a semantic network solution for an existing medical diagnostic system and resolve the given technical scenario in database management systems, demonstrating the step-by-step execution.",,Create,Create,Create,100.0,3,20.31,Best Candidate,Exact Match: True. BLEU: 0.02. ROUGE-L: 0.217.
Design a multi-agent system for coordinating autonomous vehicles at a busy intersection without centralised control.,Propose a multi-agent coordination design that combines autonomous vehicle coordinating with centralized control for a metropolitan transportation hub.,,Create,Create,Create,100.0,0,5.7,Exact Match,Exact Match: True. BLEU: 0.069. ROUGE-L: 0.286.
Design an intrusion detection system that combines signature-based and anomaly-based detection for a corporate network.,Design an intrusion detection solution that integrates signature-based and anomaly-based detection.,,Create,Create,Create,100.0,0,4.74,Exact Match,Exact Match: True. BLEU: 0.438. ROUGE-L: 0.733.
Propose a key management architecture for encrypting sensitive data at rest in a multi-tenant cloud environment.,Design a multi-tenant key management solution for encrypting sensitive data in a cloud environment.,,Create,Create,Create,100.0,1,10.12,Exact Match,Exact Match: True. BLEU: 0.282. ROUGE-L: 0.688.
Design a scalable event-driven architecture for a real-time ride-hailing platform supporting millions of concurrent users.,"Construct an event-driven microservices platform for a real-time fleet management platform that combines event scheduling, adaptive response, and scalable service provisioning.",,Create,Create,Create,100.0,3,24.36,Best Candidate,Exact Match: True. BLEU: 0.137. ROUGE-L: 0.341.
